t,T,TT
246450,26.15879518813716,24.701176547544453
246460,26.158611869451846,24.70115792596717
246470,26.15842857147981,24.701139306143887
246480,26.158245294218663,24.701120688074436
246490,26.158062037666024,24.701102071758644
246500,26.15787880181951,24.701083457196347
246510,26.157695586676734,24.701064844387382
246520,26.157512392235315,24.701046233331574
246530,26.157329218492873,24.701027624028757
246540,26.15714606544702,24.701009016478768
246550,26.156962933095375,24.700990410681435
246560,26.156779821435556,24.70097180663659
246570,26.156596730465182,24.70095320434407
246580,26.15641366018187,24.700934603803706
246590,26.15623061058324,24.70091600501533
246600,26.15604758166691,24.700897407978772
246610,26.1558645734305,24.70087881269387
246620,26.155681585871626,24.700860219160454
246630,26.155498618987913,24.700841627378352
246640,26.15531567277698,24.700823037347405
246650,26.155132747236443,24.70080444906744
246660,26.154949842363926,24.700785862538297
246670,26.15476695815705,24.700767277759798
246680,26.154584094613437,24.700748694731782
246690,26.154401251730707,24.70073011345408
246700,26.154218429506482,24.700711533926526
246710,26.15403562793838,24.700692956148956
246720,26.15385284702403,24.700674380121196
246730,26.15367008676105,24.70065580584308
246740,26.153487347147063,24.700637233314445
246750,26.153304628179697,24.700618662535124
246760,26.15312192985657,24.700600093504946
246770,26.152939252175308,24.700581526223743
246780,26.152756595133532,24.700562960691354
246790,26.15257395872887,24.700544396907606
246800,26.152391342958943,24.700525834872337
246810,26.15220874782138,24.700507274585377
246820,26.152026173313804,24.700488716046557
246830,26.151843619433837,24.700470159255712
246840,26.15166108617911,24.700451604212677
246850,26.151478573547248,24.700433050917283
246860,26.151296081535875,24.700414499369362
246870,26.151113610142616,24.70039594956875
246880,26.1509311593651,24.70037740151528
246890,26.150748729200956,24.70035885520878
246900,26.150566319647808,24.70034031064909
246910,26.150383930703285,24.700321767836037
246920,26.150201562365012,24.70030322676946
246930,26.15001921463062,24.700284687449187
246940,26.149836887497738,24.700266149875052
246950,26.149654580963993,24.70024761404689
246960,26.149472295027014,24.700229079964537
246970,26.14929002968443,24.70021054762782
246980,26.14910778493387,24.700192017036574
246990,26.148925560772966,24.700173488190636
247000,26.148743357199347,24.700154961089833
247010,26.14856117421064,24.700136435734006
247020,26.148379011804483,24.70011791212298
247030,26.1481968699785,24.700099390256597
